2026-07-21 20:06:18  INFO     === reconstruct_walls started ===
2026-07-21 20:06:18  INFO     input:  data\parsed.json
2026-07-21 20:06:18  INFO     output: data\output.json
2026-07-21 20:06:18  INFO     tolerance: 10.00 mm
2026-07-21 20:06:18  INFO     Loaded 759 walls, 16 doors, 0 windows
2026-07-21 20:06:50  DEBUG      snap wall 28B endpoint (73017.338,-246924.616) -> (73017.337,-246923.974)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 28C endpoint (70117.338,-246925.278) -> (70117.338,-246924.637)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 28D endpoint (67417.338,-246925.895) -> (67417.338,-246925.254)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 28E endpoint (64617.338,-246926.535) -> (64617.338,-246925.893)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 28F endpoint (61817.338,-246927.175) -> (61817.338,-246926.533)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 290 endpoint (59017.338,-246927.815) -> (59017.338,-246927.173)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 291 endpoint (56217.338,-246928.454) -> (56217.338,-246927.813)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 292 endpoint (53417.338,-246929.094) -> (53417.338,-246928.452)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 293 endpoint (50617.338,-246929.734) -> (50617.338,-246929.092)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 294 endpoint (47817.338,-246930.374) -> (47817.338,-246929.732)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 295 endpoint (95702.290,-246676.247) -> (95702.283,-246647.840)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 296 endpoint (95702.345,-246916.247) -> (95702.345,-246918.795)  dist=2.548 mm
2026-07-21 20:06:50  DEBUG      snap wall 296 endpoint (95702.346,-246919.433) -> (95702.345,-246918.795)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 297 endpoint (93772.346,-246919.874) -> (93772.345,-246919.236)  dist=0.637 mm
2026-07-21 20:06:50  DEBUG      snap wall 297 endpoint (93772.345,-246916.688) -> (93772.345,-246919.236)  dist=2.548 mm
2026-07-21 20:06:50  DEBUG      snap wall 29A endpoint (128217.295,-246668.814) -> (128217.315,-246640.409)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 29B endpoint (128217.350,-246908.797) -> (128217.350,-246911.362)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 29B endpoint (128217.350,-246912.003) -> (128217.350,-246911.362)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 29D endpoint (122717.295,-246670.075) -> (122717.315,-246641.667)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 29E endpoint (122717.350,-246910.027) -> (122717.350,-246912.613)  dist=2.587 mm
2026-07-21 20:06:50  DEBUG      snap wall 29E endpoint (122717.350,-246913.260) -> (122717.350,-246912.613)  dist=0.647 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A0 endpoint (119817.295,-246670.733) -> (119817.315,-246642.328)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A1 endpoint (119817.350,-246910.716) -> (119817.350,-246913.281)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A1 endpoint (119817.351,-246913.923) -> (119817.350,-246913.281)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A3 endpoint (111417.295,-246672.652) -> (111417.315,-246644.247)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A4 endpoint (111417.350,-246912.636) -> (111417.351,-246915.201)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A4 endpoint (111417.351,-246915.842) -> (111417.351,-246915.201)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A6 endpoint (87017.282,-246678.227) -> (87017.304,-246649.822)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A7 endpoint (87017.337,-246918.209) -> (87017.337,-246920.775)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A7 endpoint (87017.337,-246921.417) -> (87017.337,-246920.775)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2A9 endpoint (81417.282,-246679.507) -> (81417.304,-246651.102)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AA endpoint (81417.337,-246919.489) -> (81417.337,-246922.055)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AA endpoint (81417.337,-246922.696) -> (81417.337,-246922.055)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AC endpoint (75817.338,-246923.976) -> (75817.337,-246923.334)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AC endpoint (75817.337,-246920.768) -> (75817.337,-246923.334)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AD endpoint (75817.282,-246680.786) -> (75817.304,-246652.381)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2AF endpoint (73017.282,-246681.425) -> (73017.304,-246653.020)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B0 endpoint (73017.337,-246921.408) -> (73017.337,-246923.974)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B0 endpoint (73017.338,-246924.616) -> (73017.337,-246923.974)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B2 endpoint (67417.282,-246682.704) -> (67417.305,-246654.300)  dist=28.404 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B3 endpoint (67417.337,-246922.687) -> (67417.338,-246925.254)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B3 endpoint (67417.338,-246925.895) -> (67417.338,-246925.254)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B5 endpoint (64617.282,-246683.345) -> (64617.305,-246654.940)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B6 endpoint (64617.337,-246923.327) -> (64617.338,-246925.893)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B6 endpoint (64617.338,-246926.535) -> (64617.338,-246925.893)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B8 endpoint (59017.282,-246684.621) -> (59017.305,-246656.218)  dist=28.403 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B9 endpoint (59017.337,-246924.606) -> (59017.338,-246927.173)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2B9 endpoint (59017.338,-246927.815) -> (59017.338,-246927.173)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BB endpoint (56217.283,-246685.264) -> (56217.305,-246656.859)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BC endpoint (56217.337,-246925.246) -> (56217.338,-246927.813)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BC endpoint (56217.338,-246928.454) -> (56217.338,-246927.813)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BE endpoint (50617.283,-246686.537) -> (50617.305,-246658.135)  dist=28.402 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BF endpoint (50617.337,-246926.526) -> (50617.338,-246929.092)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2BF endpoint (50617.338,-246929.734) -> (50617.338,-246929.092)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C1 endpoint (84217.282,-246678.872) -> (84217.304,-246650.464)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C2 endpoint (84217.337,-246918.848) -> (84217.337,-246921.415)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C2 endpoint (84217.337,-246922.057) -> (84217.337,-246921.415)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C4 endpoint (131017.295,-246668.171) -> (131017.315,-246639.767)  dist=28.404 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C5 endpoint (131017.350,-246908.157) -> (131017.350,-246910.722)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C5 endpoint (131017.350,-246911.364) -> (131017.350,-246910.722)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C7 endpoint (47817.283,-246687.188) -> (47817.305,-246658.781)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C8 endpoint (47817.338,-246927.165) -> (47817.338,-246929.732)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2C8 endpoint (47817.338,-246930.374) -> (47817.338,-246929.732)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CA endpoint (53417.283,-246685.904) -> (53417.305,-246657.499)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CB endpoint (53417.337,-246925.886) -> (53417.338,-246928.452)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CB endpoint (53417.338,-246929.094) -> (53417.338,-246928.452)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CD endpoint (61817.282,-246683.985) -> (61817.305,-246655.580)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CE endpoint (61817.337,-246923.967) -> (61817.338,-246926.533)  dist=2.567 mm
2026-07-21 20:06:50  DEBUG      snap wall 2CE endpoint (61817.338,-246927.175) -> (61817.338,-246926.533)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D0 endpoint (70117.282,-246682.093) -> (70117.304,-246653.686)  dist=28.407 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D1 endpoint (70117.337,-246922.071) -> (70117.338,-246924.637)  dist=2.566 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D1 endpoint (70117.338,-246925.278) -> (70117.338,-246924.637)  dist=0.642 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D3 endpoint (125417.293,-246669.453) -> (125417.314,-246641.048)  dist=28.405 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D4 endpoint (125417.348,-246909.437) -> (125417.349,-246912.002)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D4 endpoint (125417.349,-246912.643) -> (125417.349,-246912.002)  dist=0.641 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D6 endpoint (117017.295,-246671.374) -> (117017.315,-246642.968)  dist=28.406 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D7 endpoint (117017.350,-246911.356) -> (117017.350,-246913.921)  dist=2.565 mm
2026-07-21 20:06:50  DEBUG      snap wall 2D7 endpoint (117017.351,-246914.562) -> (117017.350,-246913.921)  dist=0.641 mm
